bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H25215,InscriptionSentence,0,出二,未释歲亡未释在四月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25216,InscriptionSentence,0,賓出,未释未释卜大未释未释歲于未释于吝未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25217,InscriptionSentence,0,出二,未释貞歲于未释宗,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25220,InscriptionSentence,0,賓出,未释未释未释大未释未释歲弜򽰼延一月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25221,InscriptionSentence,0,賓出,未释未释卜出未释未释延大未释歲于未释三牢,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25225,InscriptionSentence,0,出二,未释貞未释暮歲未释其宜未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲"", ""宜""], ""target_type"": ""other""}"
H25227,InscriptionSentence,1,出二,未释未释卜旅未释未释歲未释于未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25228,InscriptionSentence,0,出二,丁未释未释未释貞歲未释皆,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25229,InscriptionSentence,0,出二,貞王未释歲未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25230,InscriptionSentence,0,賓出,貞未释歲未释用未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25230,InscriptionSentence,1,賓出,丙彡未释未释丁用,ritual,"{""verb_type"": ""strong"", ""verbs"": [""彡""], ""target_type"": ""other""}"
H25232,InscriptionSentence,0,賓出,辛丑卜大貞歲弜羊未释牢一牛,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25233,InscriptionSentence,0,出二,乙卯卜𫅓貞毓未释歲未释戍未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25234,InscriptionSentence,1,出二,未释未释未释行未释未释歲未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25246,InscriptionSentence,1,出二,甲御卜大貞王賓𫩀亡尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H25268,InscriptionSentence,3,出二,己酉卜尹貞王賓歲牛亡尤,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25270,InscriptionSentence,2,出二,未释歲未释亡,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25295,InscriptionSentence,0,出二,戊辰未释未释貞王未释歲三牢在十二月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""歲""], ""target_type"": ""other""}"
H25299,InscriptionSentence,1,出二,甲戊未释貞王未释禱未释在未释未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""禱""], ""target_type"": ""other""}"
H25300,InscriptionSentence,3,出二,丁丑未释貞王未释父丁未释未释,ritual,"{""verb_type"": ""none"", ""target_type"": ""ancestor"", ""targets"": [""父丁""]}"
H25307,InscriptionSentence,0,出二,未释未释未释行未释王賓未释未释彡亡尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""彡""], ""target_type"": ""other""}"
H25307,InscriptionSentence,1,出二,丙御卜行貞王賓𫩀亡尤,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
